date,open,high,low,close,volume
3/13/1986,0.0885,0.1016,0.0885,0.0972,1031788800
3/14/1986,0.0972,0.1024,0.0972,0.1007,308160000
3/17/1986,0.1007,0.1033,0.1007,0.1024,133171200
3/18/1986,0.1024,0.1033,0.099,0.0998,67766400
3/19/1986,0.0998,0.1007,0.0972,0.0981,47894400
3/20/1986,0.0981,0.0981,0.0946,0.0955,58435200
3/21/1986,0.0955,0.0972,0.0911,0.0929,59990400
3/24/1986,0.0929,0.0929,0.0894,0.0903,65289600
3/25/1986,0.0903,0.092,0.0894,0.092,32083200
3/26/1986,0.092,0.0955,0.0911,0.0946,22752000
3/27/1986,0.0946,0.0964,0.0946,0.0964,16848000
3/31/1986,0.0964,0.0964,0.0938,0.0955,12873600
4/1/1986,0.0955,0.0955,0.0946,0.0946,11088000
4/2/1986,0.0946,0.0972,0.0946,0.0955,27014400
4/3/1986,0.0964,0.099,0.0964,0.0964,23040000
4/4/1986,0.0964,0.0972,0.0964,0.0964,26582400
4/7/1986,0.0964,0.0972,0.0929,0.0946,16560000
4/8/1986,0.0946,0.0972,0.0946,0.0955,10252800
4/9/1986,0.0955,0.0981,0.0955,0.0972,12153600
4/10/1986,0.0972,0.099,0.0955,0.0981,13881600
4/11/1986,0.099,0.1016,0.099,0.0998,17222400
4/14/1986,0.0998,0.1016,0.0998,0.1007,12153600
4/15/1986,0.1007,0.1007,0.0972,0.1007,9302400
4/16/1986,0.1007,0.105,0.0998,0.1042,31910400
4/17/1986,0.1042,0.105,0.1042,0.105,22003200
4/18/1986,0.105,0.105,0.1007,0.1016,21628800
4/21/1986,0.1016,0.1024,0.099,0.1016,22924800
4/22/1986,0.1016,0.1016,0.0998,0.0998,15552000
4/23/1986,0.0998,0.1007,0.099,0.1002,15609600
4/24/1986,0.1002,0.112,0.0998,0.1102,62352000
4/25/1986,0.1111,0.122,0.1111,0.1172,85795200
4/28/1986,0.1172,0.1189,0.1163,0.1181,28886400
4/29/1986,0.1181,0.1181,0.1137,0.1146,30326400
4/30/1986,0.1146,0.1155,0.1094,0.112,30902400
5/1/1986,0.112,0.112,0.1085,0.1102,54345600
5/2/1986,0.1102,0.112,0.1094,0.1102,20246400
5/5/1986,0.1102,0.1102,0.1094,0.1094,3254400
5/6/1986,0.1102,0.112,0.1102,0.1102,9734400
5/7/1986,0.1102,0.1111,0.1085,0.1102,5155200
5/8/1986,0.1102,0.1111,0.1094,0.1111,3542400
5/9/1986,0.1111,0.1111,0.1102,0.1102,6076800
5/12/1986,0.1102,0.1137,0.1102,0.1111,10483200
5/13/1986,0.1111,0.1128,0.1111,0.112,3830400
5/14/1986,0.112,0.112,0.1111,0.1111,9302400
5/15/1986,0.1111,0.1128,0.1111,0.1111,3801600
5/16/1986,0.1111,0.1146,0.1111,0.112,11952000
5/19/1986,0.112,0.112,0.1094,0.1102,11001600
